time_minutes,track_temp_c,air_temp_c,condition,humidity_pct,wind_speed_kph,race_id,race_index
0,21.4,13.4,dry,77.47004798590842,22.074449915708247,race_009_misano,9
5,21.3,13.3,dry,48.60053837713759,16.780165521638082,race_009_misano,9
10,21.7,13.7,dry,62.22340013517559,5.668949458249958,race_009_misano,9
15,22.1,14.1,dry,50.201471865632854,24.866074435207246,race_009_misano,9
20,22.3,14.3,dry,76.10441246572185,12.423092067596194,race_009_misano,9
25,21.9,13.9,dry,70.38809373579319,16.531099304540696,race_009_misano,9
30,22.3,14.3,dry,64.01405961802533,15.449431756539944,race_009_misano,9
35,22.7,14.7,dry,56.49706127360933,16.232888189272373,race_009_misano,9
40,22.5,14.5,dry,60.60128039490465,6.123391086032248,race_009_misano,9
45,22.6,14.6,dry,53.84162020112646,20.598882829955294,race_009_misano,9
50,22.3,14.3,dry,59.03462150608738,17.289977197072538,race_009_misano,9
55,22.4,14.4,dry,78.00896513113821,19.25814256318427,race_009_misano,9
60,22.1,14.1,dry,46.618547477507754,12.06368434120241,race_009_misano,9
65,22.6,14.6,dry,50.95726248799325,15.120894794970896,race_009_misano,9
70,22.6,14.6,dry,73.98918981261075,16.36371557295436,race_009_misano,9
75,22.7,14.7,dry,44.65772506667052,23.92912769242181,race_009_misano,9
80,22.6,14.6,dry,45.442542227650925,22.279488193672705,race_009_misano,9
85,22.1,14.1,dry,46.77109324791119,20.159353768383475,race_009_misano,9
90,22.2,14.2,dry,76.79994501007334,18.563630280655154,race_009_misano,9
95,22.7,14.7,dry,60.93351222367724,18.633036919190864,race_009_misano,9
100,22.4,14.4,dry,44.624899930606844,5.52696658866741,race_009_misano,9
105,22.7,14.7,dry,53.37373086009485,11.318542237668261,race_009_misano,9
110,22.8,14.8,dry,52.847121206105484,16.92728774707254,race_009_misano,9
115,22.8,14.8,dry,48.60082077105364,14.65325929721265,race_009_misano,9
120,23.0,15.0,dry,48.920339782459195,9.846466750805243,race_009_misano,9
125,23.0,15.0,dry,58.73873956531088,21.302715191323543,race_009_misano,9
130,22.9,14.9,dry,76.52725121942447,10.8510955184584,race_009_misano,9
135,23.1,15.1,damp,47.140509542600036,10.014082064361595,race_009_misano,9
140,22.8,14.8,damp,77.56121363110339,24.42905773347707,race_009_misano,9
145,22.4,14.4,damp,44.015913539061266,6.636249399126262,race_009_misano,9
150,22.7,14.7,damp,58.48705788901147,6.680200722418858,race_009_misano,9
