time_minutes,track_temp_c,air_temp_c,condition,humidity_pct,wind_speed_kph,race_id,race_index
0,25.1,17.1,dry,59.773037045887236,23.932482577153383,race_005_watkins_glen,5
5,25.0,17.0,dry,73.15705723219432,19.28030793336402,race_005_watkins_glen,5
10,25.0,17.0,dry,66.87985956020586,16.573093649050627,race_005_watkins_glen,5
15,24.9,16.9,dry,52.443888468957944,18.041427230168335,race_005_watkins_glen,5
20,24.5,16.5,dry,62.88684746532428,21.214267062924208,race_005_watkins_glen,5
25,24.5,16.5,dry,62.30670508362706,11.645110140673953,race_005_watkins_glen,5
30,24.1,16.1,dry,49.15078490673336,9.247912799016774,race_005_watkins_glen,5
35,23.8,15.8,dry,42.04157395101928,6.8295907609080375,race_005_watkins_glen,5
40,24.0,16.0,dry,60.627442482862136,18.181371726421805,race_005_watkins_glen,5
45,23.8,15.8,dry,68.59344531565829,19.469983385280518,race_005_watkins_glen,5
50,23.3,15.3,dry,57.95350330324872,11.377849249609671,race_005_watkins_glen,5
55,23.3,15.3,dry,68.30210489931049,8.145550755796815,race_005_watkins_glen,5
60,23.3,15.3,dry,41.42537745342145,10.88412702279263,race_005_watkins_glen,5
65,23.0,15.0,dry,64.0640267559005,7.00676748083443,race_005_watkins_glen,5
70,22.9,14.9,dry,54.32146246665871,19.767176229669417,race_005_watkins_glen,5
75,22.7,14.7,dry,63.787460618835546,13.473595551221717,race_005_watkins_glen,5
80,22.6,14.6,dry,70.31702041566817,20.18663674611711,race_005_watkins_glen,5
85,22.9,14.9,dry,53.796592375942204,12.649396559416608,race_005_watkins_glen,5
90,22.4,14.4,dry,76.99337402035206,21.98752309528927,race_005_watkins_glen,5
95,22.2,14.2,dry,54.12118375259613,14.084129017108895,race_005_watkins_glen,5
100,22.5,14.5,dry,53.413126205279866,22.149957689818915,race_005_watkins_glen,5
105,22.5,14.5,dry,63.931279499788,16.11692662609576,race_005_watkins_glen,5
110,22.6,14.6,dry,52.6755942084755,15.524559904530244,race_005_watkins_glen,5
115,22.2,14.2,dry,79.97700063474491,22.79727228051253,race_005_watkins_glen,5
120,22.2,14.2,dry,69.3617565984461,18.029542579942706,race_005_watkins_glen,5
125,22.2,14.2,dry,73.54732693744889,21.118045822497137,race_005_watkins_glen,5
130,22.0,14.0,dry,63.43949694380785,5.455426337819766,race_005_watkins_glen,5
135,21.6,13.6,dry,77.13619603646379,23.43404162181243,race_005_watkins_glen,5
140,21.9,13.9,dry,57.83804369246357,11.06377845781096,race_005_watkins_glen,5
145,21.4,13.4,dry,64.71649724859495,20.463271068449487,race_005_watkins_glen,5
150,21.1,13.1,dry,69.02475628210738,17.479828408448842,race_005_watkins_glen,5
155,20.7,12.7,dry,75.0665015872585,5.145186960868189,race_005_watkins_glen,5
160,20.6,12.6,dry,70.52260762822513,11.249846603183125,race_005_watkins_glen,5
165,20.8,12.8,dry,44.40769265092568,21.43359728076938,race_005_watkins_glen,5
170,20.9,12.9,dry,41.32767149173324,23.313661149102344,race_005_watkins_glen,5
175,21.2,13.2,dry,52.14655584827038,18.27692874061957,race_005_watkins_glen,5
180,21.1,13.1,dry,50.710844453459835,13.411786525974208,race_005_watkins_glen,5
185,21.2,13.2,dry,63.650949715622914,17.04202248194936,race_005_watkins_glen,5
190,20.8,12.8,dry,41.15791032666997,21.49559556795847,race_005_watkins_glen,5
195,20.8,12.8,dry,66.65924177410349,12.918013841193755,race_005_watkins_glen,5
200,21.0,13.0,dry,58.83464395577559,6.24176274693218,race_005_watkins_glen,5
205,20.7,12.7,dry,43.75440150442443,22.768996720533444,race_005_watkins_glen,5
210,21.2,13.2,dry,73.77854492784866,15.649392230634096,race_005_watkins_glen,5
215,21.2,13.2,dry,71.7608285311064,6.142880231153802,race_005_watkins_glen,5
220,21.2,13.2,dry,74.22892161215651,23.95685147862543,race_005_watkins_glen,5
225,21.4,13.4,dry,63.845059682094785,19.593650845660527,race_005_watkins_glen,5
